ExperimentName	Subject	Session	Chopstick	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	FeliceNeutro[Session]	Group	Handedness	IstruzioniBlocchi.DurationError	IstruzioniBlocchi.OnsetDelay	IstruzioniBlocchi.OnsetTime	IstruzioniBlocchi.OnsetToOnsetTime	Lenti	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	Sex	StudioVersion	Welcome.DurationError	Welcome.OnsetDelay	Welcome.OnsetTime	Welcome.OnsetToOnsetTime	Block	Istruzionitraining1.ACC	Istruzionitraining1.CRESP	Istruzionitraining1.DurationError	Istruzionitraining1.OnsetDelay	Istruzionitraining1.OnsetTime	Istruzionitraining1.OnsetToOnsetTime	Istruzionitraining1.RESP	Istruzionitraining1.RT	Istruzionitraining1.RTTime	Procedure[Block]	Running[Block]	TrainingBlocklist	TrainingBlocklist.Cycle	TrainingBlocklist.Sample	Valutation	Valutation.Cycle	Valutation.Sample	XPBlocklist	XPBlocklist.Cycle	XPBlocklist.Sample	XpBlocklist2	XpBlocklist2.Cycle	XpBlocklist2.Sample	Trial	ArouImage.RESP	Arousalproc	Arousalproc.Cycle	Arousalproc.Sample	b	Categoria	COLORE1	ColoreB	ColoreM	FeliceNeutro[Trial]	FeliceNeutro.Cycle	FeliceNeutro.Sample	KeyPress10RESP	KeyPress10RT	KeyPress11RESP	KeyPress11RT	KeyPress12RESP	KeyPress12RT	KeyPress13RESP	KeyPress13RT	KeyPress14RESP	KeyPress14RT	KeyPress15RESP	KeyPress15RT	KeyPress16RESP	KeyPress16RT	KeyPress17RESP	KeyPress17RT	KeyPress18RESP	KeyPress18RT	KeyPress19RESP	KeyPress19RT	KeyPress1RESP	KeyPress1RT	KeyPress20RESP	KeyPress20RT	KeyPress2RESP	KeyPress2RT	KeyPress3RESP	KeyPress3RT	KeyPress4RESP	KeyPress4RT	KeyPress5RESP	KeyPress5RT	KeyPress6RESP	KeyPress6RT	KeyPress7RESP	KeyPress7RT	KeyPress8RESP	KeyPress8RT	KeyPress9RESP	KeyPress9RT	m	NeutroFelice	NeutroFelice.Cycle	NeutroFelice.Sample	Procedure[Trial]	Provalist	Provalist.Cycle	Provalist.Sample	Running[Trial]	TAG	TAG1	Trialblocklist	Trialblocklist.Cycle	Trialblocklist.Sample	ValImage.RESP	Valtrialproc	Valtrialproc.Cycle	Valtrialproc.Sample
qualiamotion pilot	1	1	YES	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3117968</Frequency><Timestamp dt:dt="r8">26963278924</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	qualiamotion pilot-1-1	84.909	1.0.0.518	F	1	right	-999999	352152	352152	0	VR	1194103754	Professional	2.0.10.356	2.0.10.356	06-15-2021	15/06/2021 13:29:28	15:29:28	female	2.0.10.252	-999999	18	351021	0	1	0		-999999	24	47613	0	1	56681	104294	TrainingProc	TrainingBlocklist	1	1	1										1						1	ROSSO			F																																															trainingtriallist				Trialblocklist	R_N1.png	NEUTRO	3	1	1				
qualiamotion pilot	1	1	YES	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3117968</Frequency><Timestamp dt:dt="r8">26963278924</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	qualiamotion pilot-1-1	84.909	1.0.0.518	F	1	right	-999999	352152	352152	0	VR	1194103754	Professional	2.0.10.356	2.0.10.356	06-15-2021	15/06/2021 13:29:28	15:29:28	female	2.0.10.252	-999999	18	351021	0	1	0		-999999	24	47613	0	1	56681	104294	TrainingProc	TrainingBlocklist	1	1	1										2						2	VERDE			F																																															trainingtriallist				Trialblocklist	V_N2.png	NEUTRO	8	1	2				
qualiamotion pilot	1	1	YES	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3117968</Frequency><Timestamp dt:dt="r8">26963278924</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	qualiamotion pilot-1-1	84.909	1.0.0.518	F	1	right	-999999	352152	352152	0	VR	1194103754	Professional	2.0.10.356	2.0.10.356	06-15-2021	15/06/2021 13:29:28	15:29:28	female	2.0.10.252	-999999	18	351021	0	1	0		-999999	24	47613	0	1	56681	104294	TrainingProc	TrainingBlocklist	1	1	1										3						1	VERDE			F																																															trainingtriallist				Trialblocklist	V_N1.png	NEUTRO	7	1	3				
qualiamotion pilot	1	1	YES	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3117968</Frequency><Timestamp dt:dt="r8">26963278924</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	qualiamotion pilot-1-1	84.909	1.0.0.518	F	1	right	-999999	352152	352152	0	VR	1194103754	Professional	2.0.10.356	2.0.10.356	06-15-2021	15/06/2021 13:29:28	15:29:28	female	2.0.10.252	-999999	18	351021	0	1	0		-999999	24	47613	0	1	56681	104294	TrainingProc	TrainingBlocklist	1	1	1										4						1	ROSSO			F																																															trainingtriallist				Trialblocklist	R_F1.png	FELICE	1	1	4				
qualiamotion pilot	1	1	YES	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3117968</Frequency><Timestamp dt:dt="r8">26963278924</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	qualiamotion pilot-1-1	84.909	1.0.0.518	F	1	right	-999999	352152	352152	0	VR	1194103754	Professional	2.0.10.356	2.0.10.356	06-15-2021	15/06/2021 13:29:28	15:29:28	female	2.0.10.252	-999999	18	351021	0	1	0		-999999	24	47613	0	1	56681	104294	TrainingProc	TrainingBlocklist	1	1	1										5						2	VERDE			F																																															trainingtriallist				Trialblocklist	V_F2.png	FELICE	6	1	5				
qualiamotion pilot	1	1	YES	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3117968</Frequency><Timestamp dt:dt="r8">26963278924</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	qualiamotion pilot-1-1	84.909	1.0.0.518	F	1	right	-999999	352152	352152	0	VR	1194103754	Professional	2.0.10.356	2.0.10.356	06-15-2021	15/06/2021 13:29:28	15:29:28	female	2.0.10.252	-999999	18	351021	0	1	0		-999999	24	47613	0	1	56681	104294	TrainingProc	TrainingBlocklist	1	1	1										6						1	VERDE			F																																															trainingtriallist				Trialblocklist	V_F1.png	FELICE	5	1	6				
qualiamotion pilot	1	1	YES	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3117968</Frequency><Timestamp dt:dt="r8">26963278924</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	qualiamotion pilot-1-1	84.909	1.0.0.518	F	1	right	-999999	352152	352152	0	VR	1194103754	Professional	2.0.10.356	2.0.10.356	06-15-2021	15/06/2021 13:29:28	15:29:28	female	2.0.10.252	-999999	18	351021	0	1	0		-999999	24	47613	0	1	56681	104294	TrainingProc	TrainingBlocklist	1	1	1										7						2	ROSSO			F																																															trainingtriallist				Trialblocklist	R_F2.png	FELICE	2	1	7				
qualiamotion pilot	1	1	YES	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3117968</Frequency><Timestamp dt:dt="r8">26963278924</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	qualiamotion pilot-1-1	84.909	1.0.0.518	F	1	right	-999999	352152	352152	0	VR	1194103754	Professional	2.0.10.356	2.0.10.356	06-15-2021	15/06/2021 13:29:28	15:29:28	female	2.0.10.252	-999999	18	351021	0	1	0		-999999	24	47613	0	1	56681	104294	TrainingProc	TrainingBlocklist	1	1	1										8						2	ROSSO			F																																															trainingtriallist				Trialblocklist	R_N2.png	NEUTRO	4	1	8				
qualiamotion pilot	1	1	YES	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3117968</Frequency><Timestamp dt:dt="r8">26963278924</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	qualiamotion pilot-1-1	84.909	1.0.0.518	F	1	right	-999999	352152	352152	0	VR	1194103754	Professional	2.0.10.356	2.0.10.356	06-15-2021	15/06/2021 13:29:28	15:29:28	female	2.0.10.252	-999999	18	351021	0	1	0		-999999	24	47613	0	1	56681	104294	TrainingProc	TrainingBlocklist	1	1	1										9										F																																															Triningrivalry	1	1	1	Provalist	VR_BV.png								
qualiamotion pilot	1	1	YES	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3117968</Frequency><Timestamp dt:dt="r8">26963278924</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-15T13:29:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	qualiamotion pilot-1-1	84.909	1.0.0.518	F	1	right	-999999	352152	352152	0	VR	1194103754	Professional	2.0.10.356	2.0.10.356	06-15-2021	15/06/2021 13:29:28	15:29:28	female	2.0.10.252	-999999	18	351021	0	2										blockproc	XPBlocklist							1	1	1				1					FELICE	2		ROSSO	VERDE	3	1	1																					b	1188																			NEUTRO				FeliceNeutroProc				FeliceNeutro	VR_NF_2.png								
